model,target_id,n_reps,mean_total_runtime_sec,std_total_runtime_sec,cv_total_runtime_sec,min_total_runtime_sec,max_total_runtime_sec,mean_inference_runtime_sec,std_inference_runtime_sec,cv_inference_runtime_sec,flagged_unstable
esmfold,T1212,3,72.93025686435915,10.684397034692147,0.14650156867764422,66.6347132180017,85.26665957807563,72.93025686435915,10.684397034692147,0.14650156867764422,False
chai1,T1106s2,3,80.00127630730519,11.708053011988168,0.14634832783185317,73.00852628899884,93.5178604319226,80.00127630730519,11.708053011988168,0.14634832783185317,False
chai1,T1122,3,80.16646678640609,11.445418311371483,0.14277064675765772,73.45851678800318,93.3819911282044,80.16646678640609,11.445418311371483,0.14277064675765772,False
chai1,T1159,3,79.82185204703273,11.23695211869011,0.14077538707156356,73.16996090699831,92.79576896410435,79.82185204703273,11.23695211869011,0.14077538707156356,False
chai1,T1151s2,3,79.66435073664131,11.212415832006318,0.1407457128355056,72.98281392599893,92.60908020893112,79.66435073664131,11.212415832006318,0.1407457128355056,False
chai1,T1280,3,80.17055132703292,11.258663393583742,0.14043390256426244,73.43714179500239,93.16811267309822,80.17055132703292,11.258663393583742,0.14043390256426244,False
chai1,T1155,3,79.62318555167924,11.175076190690516,0.14034952398930786,72.9852055070005,92.52524624904618,79.62318555167924,11.175076190690516,0.14034952398930786,False
chai1,T1183,3,79.81818776436073,11.190991675213981,0.1402060355999566,73.16682771900378,92.73854609509,79.81818776436073,11.190991675213981,0.1402060355999566,False
chai1,T1194,3,79.78962401561391,11.07998502493621,0.13886498603838496,73.12158651999925,92.57980610383676,79.78962401561391,11.07998502493621,0.13886498603838496,False
esmfold,T1112,3,71.97452536303292,9.99172615083993,0.13882309192651954,66.09458188599092,83.51125753810629,71.97452536303292,9.99172615083993,0.13882309192651954,False
chai1,T1272s7,3,79.96713447134728,10.974583904883302,0.13723867908278697,73.38379342699773,92.63623574003576,79.96713447134728,10.974583904883302,0.13723867908278697,False
chai1,T1299,3,79.62471779465947,10.896583540225839,0.13684925789409436,73.08715258599841,92.20374817796984,79.62471779465947,10.896583540225839,0.13684925789409436,False
chai1,T1272s9,3,79.91659437160949,10.889477858254018,0.1362605344219038,73.48437137599831,92.48955408483744,79.91659437160949,10.889477858254018,0.1362605344219038,False
esmfold,T1227s1,3,67.14899446727698,9.061502894257275,0.13494621872071552,61.72336867699778,77.60988927283324,67.14899446727698,9.061502894257275,0.13494621872071552,False
chai1,T1147,3,79.47020932433468,10.61252499266749,0.13354092159686579,73.15958331999718,91.72264749300666,79.47020932433468,10.61252499266749,0.13354092159686579,False
chai1,T1114s1,3,80.19302494599954,10.634578520967924,0.13261226307561097,73.71081488499476,92.46629333100282,80.19302494599954,10.634578520967924,0.13261226307561097,False
